Article Number, Topic Feature, ProperNoun Feature, Unknown Word Feature, Cue Word Feature,  Bigram Feature, Tf-Idf, Sentence Position Feature, Class
0, 0.0, 0.0, 0.5, 0.0, 0.0, 1.6479184330021646, 1.0, 0
0, 0.625, 0.0, 0.5, 1.0, 0.5, 0.321174683649618, 0.9629629629629629, 0
0, 0.0625, 0.0, 0.6875, 0.0625, 0.0625, 0.2046580596449167, 0.9259259259259259, 1
0, 0.0, 0.0, 0.42857142857142855, 0.0, 0.14285714285714285, 0.4675970006500748, 0.8888888888888888, 0
0, 0.1, 0.0, 0.6, 0.2, 0.3, 0.3158336830554216, 0.8518518518518519, 0
0, 0.11764705882352941, 0.0, 0.7647058823529411, 0.17647058823529413, 0.29411764705882354, 0.1836442488915573, 0.8148148148148148, 1
0, 0.2, 0.0, 0.3, 0.3, 0.0, 0.34026209290044646, 0.7777777777777778, 0
0, 0.0, 0.125, 0.5, 0.0, 0.125, 0.4426305224071576, 0.7407407407407407, 0
0, 0.0, 0.0, 0.5714285714285714, 0.0, 0.0, 0.4817428614778288, 0.7037037037037037, 0
0, 0.0, 0.0, 0.8, 0.0, 0.0, 0.7099078262194061, 0.6666666666666666, 0
0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.5555555555555556, 0.3333333333333333, 0.3115717405024663, 0.6296296296296297, 0
0, 0.2727272727272727, 0.0, 0.36363636363636365, 0.45454545454545453, 0.18181818181818182, 0.2705175564217275, 0.5925925925925926, 1
0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.29717107460789904, 0.5555555555555556, 0
0, 0.07692307692307693, 0.0, 0.5384615384615384, 0.15384615384615385, 0.07692307692307693, 0.2755534057671068, 0.5185185185185185, 1
0, 0.07692307692307693, 0.0, 0.7692307692307693, 0.07692307692307693, 0.0, 0.20629129122499024, 0.48148148148148145, 1
0, 0.09090909090909091, 0.0, 0.6363636363636364, 0.09090909090909091, 0.0, 0.2787477428242923, 0.4444444444444444, 1
0, 0.0, 0.0, 0.6666666666666666, 0.0, 0.0, 0.14588958667730764, 0.4074074074074074, 1
0, 0.1, 0.0, 0.3, 0.2, 0.1, 0.28610108887840224, 0.37037037037037035, 0
0, 0.1, 0.0, 0.7, 0.2, 0.2, 0.25942880681258274, 0.3333333333333333, 0
0, 0.0, 0.0, 0.8571428571428571, 0.0, 0.0, 0.4534511398223208, 0.2962962962962963, 0
0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.4406388386277174, 0.25925925925925924, 0
0, 0.0, 0.0, 0.5909090909090909, 0.0, 0.0, 0.15256500185681063, 0.2222222222222222, 1
0, 0.1111111111111111, 0.0, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.33514633932820004, 0.18518518518518517, 0
0, 0.0, 0.0, 0.8, 0.0, 0.0, 0.5990042773298149, 0.14814814814814814, 0
0, 0.0, 0.0, 0.6666666666666666, 0.0, 0.0, 0.2670238201623878, 0.1111111111111111, 1
0, 0.0, 0.0, 0.14285714285714285, 0.0, 0.14285714285714285, 0.48629681150464943, 0.07407407407407407, 0
0, 0.25, 0.0, 0.5, 0.5, 0.0, 0.5914810219522891, 0.037037037037037035, 0
0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.25629535216727295, 0.037037037037037035, 0
0, 0.0, 0.0, 0.42857142857142855, 0.0, 0.0, 0.4393052789945668, 0.07407407407407407, 1
0, 0.07142857142857142, 0.0, 0.5714285714285714, 0.07142857142857142, 0.0, 0.23661302898976314, 0.1111111111111111, 1
0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.9913810779965999, 0.14814814814814814, 0
0, 0.0, 0.0, 0.6, 0.0, 0.0, 0.576619645812398, 0.18518518518518517, 0
0, 0.1, 0.0, 0.6, 0.2, 0.0, 0.2809928326407424, 0.2222222222222222, 1
0, 0.0, 0.0, 0.625, 0.0, 0.0, 0.4518146890462532, 0.25925925925925924, 1
0, 0.07692307692307693, 0.0, 0.5384615384615384, 0.07692307692307693, 0.0, 0.25383429147452835, 0.2962962962962963, 1
0, 0.0, 0.0, 0.42857142857142855, 0.0, 0.0, 0.40729270924122307, 0.3333333333333333, 0
0, 0.1, 0.0, 0.6, 0.2, 0.1, 0.3292759700137654, 0.37037037037037035, 1
0, 0.0, 0.0, 0.4444444444444444, 0.0, 0.0, 0.3841156132876102, 0.4074074074074074, 1
0, 0.0, 0.0, 0.47058823529411764, 0.0, 0.0, 0.19454270687019484, 0.4444444444444444, 1
0, 0.0, 0.0, 0.4666666666666667, 0.0, 0.0, 0.1927456457372712, 0.48148148148148145, 0
